gene_name,gene_acc,source_plate_barcode,source_plate_label,cell_plate_barcode,cell_plate_label,well,row,column,label,experimental_content_type_name,molecule_design_id
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,C03,C,3,MOCK,NEG,
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,C03,C,3,MOCK,NEG,
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,C03,C,3,MOCK,NEG,
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,C04,C,4,Cdc42,POS,10326669
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,C04,C,4,Cdc42,POS,10326669
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,C04,C,4,Cdc42,POS,10326669
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,C05,C,5,R-Luc,NEG,10394401
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,C05,C,5,R-Luc,NEG,10394401
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,C05,C,5,R-Luc,NEG,10394401
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,D03,D,3,Rac1,POS,120601
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,D03,D,3,Rac1,POS,120601
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,D03,D,3,Rac1,POS,120601
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,D04,D,4,Gfp,NEG,10394402
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,D04,D,4,Gfp,NEG,10394402
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,D04,D,4,Gfp,NEG,10394402
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,D05,D,5,F-Luc,NEG,10394400
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,D05,D,5,F-Luc,NEG,10394400
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,D05,D,5,F-Luc,NEG,10394400
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,D17,D,17,sample,SAMPLE,10385701
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,D17,D,17,sample,SAMPLE,10385701
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,D17,D,17,sample,SAMPLE,10385701
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,H12,H,12,R-Luc,NEG,10394401
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,H12,H,12,R-Luc,NEG,10394401
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,H12,H,12,R-Luc,NEG,10394401
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,H13,H,13,MOCK,NEG,
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,H13,H,13,MOCK,NEG,
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,H13,H,13,MOCK,NEG,
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,H14,H,14,Cdc42,POS,10326669
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,H14,H,14,Cdc42,POS,10326669
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,H14,H,14,Cdc42,POS,10326669
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,J12,J,12,sample,SAMPLE,10385829
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,J12,J,12,sample,SAMPLE,10385829
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,J12,J,12,sample,SAMPLE,10385829
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,M20,M,20,F-Luc,NEG,10394400
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,M20,M,20,F-Luc,NEG,10394400
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,M20,M,20,F-Luc,NEG,10394400
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,M21,M,21,Cdc42,POS,10326669
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,M21,M,21,Cdc42,POS,10326669
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,M21,M,21,Cdc42,POS,10326669
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,M22,M,22,Gfp,NEG,10394402
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,M22,M,22,Gfp,NEG,10394402
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,M22,M,22,Gfp,NEG,10394402
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,N20,N,20,R-Luc,NEG,10394401
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,N20,N,20,R-Luc,NEG,10394401
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,N20,N,20,R-Luc,NEG,10394401
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,N21,N,21,Rac1,POS,120601
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,N21,N,21,Rac1,POS,120601
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,N21,N,21,Rac1,POS,120601
,,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,N22,N,22,MOCK,NEG,
,,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,N22,N,22,MOCK,NEG,
,,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,N22,N,22,MOCK,NEG,
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,C03,C,3,MOCK,NEG,
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,C03,C,3,MOCK,NEG,
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,C03,C,3,MOCK,NEG,
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,C04,C,4,Cdc42,POS,10326669
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,C04,C,4,Cdc42,POS,10326669
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,C04,C,4,Cdc42,POS,10326669
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,C05,C,5,R-Luc,NEG,10394401
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,C05,C,5,R-Luc,NEG,10394401
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,C05,C,5,R-Luc,NEG,10394401
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,D03,D,3,Rac1,POS,120601
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,D03,D,3,Rac1,POS,120601
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,D03,D,3,Rac1,POS,120601
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,D04,D,4,Gfp,NEG,10394402
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,D04,D,4,Gfp,NEG,10394402
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,D05,D,5,F-Luc,NEG,10394400
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,D05,D,5,F-Luc,NEG,10394400
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,D05,D,5,F-Luc,NEG,10394400
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,H12,H,12,R-Luc,NEG,10394401
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,H12,H,12,R-Luc,NEG,10394401
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,H12,H,12,R-Luc,NEG,10394401
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,H13,H,13,MOCK,NEG,
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,H13,H,13,MOCK,NEG,
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,H13,H,13,MOCK,NEG,
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,H14,H,14,Cdc42,POS,10326669
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,H14,H,14,Cdc42,POS,10326669
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,H14,H,14,Cdc42,POS,10326669
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,M20,M,20,F-Luc,NEG,10394400
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,M20,M,20,F-Luc,NEG,10394400
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,M20,M,20,F-Luc,NEG,10394400
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,M21,M,21,Cdc42,POS,10326669
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,M21,M,21,Cdc42,POS,10326669
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,M21,M,21,Cdc42,POS,10326669
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,M22,M,22,Gfp,NEG,10394402
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,M22,M,22,Gfp,NEG,10394402
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,N04,N,4,sample,SAMPLE,10385932
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,N04,N,4,sample,SAMPLE,10385932
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,N04,N,4,sample,SAMPLE,10385932
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,N20,N,20,R-Luc,NEG,10394401
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,N20,N,20,R-Luc,NEG,10394401
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,N20,N,20,R-Luc,NEG,10394401
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,N21,N,21,Rac1,POS,120601
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,N21,N,21,Rac1,POS,120601
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,N21,N,21,Rac1,POS,120601
,,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,N22,N,22,MOCK,NEG,
,,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,N22,N,22,MOCK,NEG,
,,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,N22,N,22,MOCK,NEG,
,,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,C03,C,3,MOCK,NEG,
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,C03,C,3,MOCK,NEG,
,,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,C03,C,3,MOCK,NEG,
,,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,C04,C,4,Cdc42,POS,10326669
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,C04,C,4,Cdc42,POS,10326669
,,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,C04,C,4,Cdc42,POS,10326669
,,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,C05,C,5,R-Luc,NEG,10394401
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,C05,C,5,R-Luc,NEG,10394401
,,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,C05,C,5,R-Luc,NEG,10394401
,,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,D03,D,3,Rac1,POS,120601
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,D03,D,3,Rac1,POS,120601
,,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,D03,D,3,Rac1,POS,120601
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,D04,D,4,Gfp,NEG,10394402
,,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,D05,D,5,F-Luc,NEG,10394400
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,D05,D,5,F-Luc,NEG,10394400
,,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,D05,D,5,F-Luc,NEG,10394400
,,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,H12,H,12,R-Luc,NEG,10394401
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,H12,H,12,R-Luc,NEG,10394401
,,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,H12,H,12,R-Luc,NEG,10394401
,,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,H13,H,13,MOCK,NEG,
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,H13,H,13,MOCK,NEG,
,,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,H13,H,13,MOCK,NEG,
,,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,H14,H,14,Cdc42,POS,10326669
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,H14,H,14,Cdc42,POS,10326669
,,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,H14,H,14,Cdc42,POS,10326669
,,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,I05,I,5,sample,SAMPLE,10386207
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,I05,I,5,sample,SAMPLE,10386207
,,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,I05,I,5,sample,SAMPLE,10386207
,,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,M20,M,20,F-Luc,NEG,10394400
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,M20,M,20,F-Luc,NEG,10394400
,,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,M20,M,20,F-Luc,NEG,10394400
,,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,M21,M,21,Cdc42,POS,10326669
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,M21,M,21,Cdc42,POS,10326669
,,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,M21,M,21,Cdc42,POS,10326669
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,M22,M,22,Gfp,NEG,10394402
,,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,N20,N,20,R-Luc,NEG,10394401
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,N20,N,20,R-Luc,NEG,10394401
,,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,N20,N,20,R-Luc,NEG,10394401
,,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,N21,N,21,Rac1,POS,120601
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,N21,N,21,Rac1,POS,120601
,,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,N21,N,21,Rac1,POS,120601
,,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,N22,N,22,MOCK,NEG,
,,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,N22,N,22,MOCK,NEG,
,,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,N22,N,22,MOCK,NEG,
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,C03,C,3,MOCK,NEG,
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,C03,C,3,MOCK,NEG,
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,C03,C,3,MOCK,NEG,
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,C04,C,4,Cdc42,POS,10326669
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,C04,C,4,Cdc42,POS,10326669
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,C04,C,4,Cdc42,POS,10326669
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,C05,C,5,R-Luc,NEG,10394401
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,C05,C,5,R-Luc,NEG,10394401
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,C05,C,5,R-Luc,NEG,10394401
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,D03,D,3,Rac1,POS,120601
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,D03,D,3,Rac1,POS,120601
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,D03,D,3,Rac1,POS,120601
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,D04,D,4,Gfp,NEG,10394402
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,D04,D,4,Gfp,NEG,10394402
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,D05,D,5,F-Luc,NEG,10394400
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,D05,D,5,F-Luc,NEG,10394400
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,D05,D,5,F-Luc,NEG,10394400
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,G03,G,3,sample,SAMPLE,10386265
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,G03,G,3,sample,SAMPLE,10386265
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,G03,G,3,sample,SAMPLE,10386265
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,H12,H,12,R-Luc,NEG,10394401
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,H12,H,12,R-Luc,NEG,10394401
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,H12,H,12,R-Luc,NEG,10394401
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,H13,H,13,MOCK,NEG,
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,H13,H,13,MOCK,NEG,
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,H13,H,13,MOCK,NEG,
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,H14,H,14,Cdc42,POS,10326669
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,H14,H,14,Cdc42,POS,10326669
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,H14,H,14,Cdc42,POS,10326669
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,M20,M,20,F-Luc,NEG,10394400
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,M20,M,20,F-Luc,NEG,10394400
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,M20,M,20,F-Luc,NEG,10394400
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,M21,M,21,Cdc42,POS,10326669
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,M21,M,21,Cdc42,POS,10326669
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,M21,M,21,Cdc42,POS,10326669
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,M22,M,22,Gfp,NEG,10394402
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,M22,M,22,Gfp,NEG,10394402
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,M22,M,22,Gfp,NEG,10394402
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,N11,N,11,sample,SAMPLE,10386340
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,N11,N,11,sample,SAMPLE,10386340
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,N11,N,11,sample,SAMPLE,10386340
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,N20,N,20,R-Luc,NEG,10394401
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,N20,N,20,R-Luc,NEG,10394401
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,N20,N,20,R-Luc,NEG,10394401
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,N21,N,21,Rac1,POS,120601
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,N21,N,21,Rac1,POS,120601
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,N21,N,21,Rac1,POS,120601
,,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,N22,N,22,MOCK,NEG,
,,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,N22,N,22,MOCK,NEG,
,,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,N22,N,22,MOCK,NEG,
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,C03,C,3,MOCK,NEG,
,,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,C03,C,3,MOCK,NEG,
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,C03,C,3,MOCK,NEG,
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,C04,C,4,Cdc42,POS,10326669
,,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,C04,C,4,Cdc42,POS,10326669
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,C04,C,4,Cdc42,POS,10326669
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,C05,C,5,R-Luc,NEG,10394401
,,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,C05,C,5,R-Luc,NEG,10394401
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,C05,C,5,R-Luc,NEG,10394401
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,D03,D,3,Rac1,POS,120601
,,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,D03,D,3,Rac1,POS,120601
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,D03,D,3,Rac1,POS,120601
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,D04,D,4,Gfp,NEG,10394402
,,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,D04,D,4,Gfp,NEG,10394402
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,D04,D,4,Gfp,NEG,10394402
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,D05,D,5,F-Luc,NEG,10394400
,,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,D05,D,5,F-Luc,NEG,10394400
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,D05,D,5,F-Luc,NEG,10394400
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,H12,H,12,R-Luc,NEG,10394401
,,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,H12,H,12,R-Luc,NEG,10394401
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,H12,H,12,R-Luc,NEG,10394401
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,H13,H,13,MOCK,NEG,
,,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,H13,H,13,MOCK,NEG,
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,H13,H,13,MOCK,NEG,
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,H14,H,14,Cdc42,POS,10326669
,,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,H14,H,14,Cdc42,POS,10326669
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,H14,H,14,Cdc42,POS,10326669
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,M20,M,20,F-Luc,NEG,10394400
,,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,M20,M,20,F-Luc,NEG,10394400
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,M20,M,20,F-Luc,NEG,10394400
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,M21,M,21,Cdc42,POS,10326669
,,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,M21,M,21,Cdc42,POS,10326669
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,M21,M,21,Cdc42,POS,10326669
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,M22,M,22,Gfp,NEG,10394402
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,M22,M,22,Gfp,NEG,10394402
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,N20,N,20,R-Luc,NEG,10394401
,,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,N20,N,20,R-Luc,NEG,10394401
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,N20,N,20,R-Luc,NEG,10394401
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,N21,N,21,Rac1,POS,120601
,,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,N21,N,21,Rac1,POS,120601
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,N21,N,21,Rac1,POS,120601
,,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,N22,N,22,MOCK,NEG,
,,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,N22,N,22,MOCK,NEG,
,,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,N22,N,22,MOCK,NEG,
,,2490686,MYORES_pass1_p6,2490688,MY-pass1-j01-MP6-3,C03,C,3,MOCK,NEG,
,,2490686,MYORES_pass1_p6,2490689,MY-pass1-j01-MP6-2,C03,C,3,MOCK,NEG,
,,2490686,MYORES_pass1_p6,2490690,MY-pass1-j01-MP6-1,C03,C,3,MOCK,NEG,
,,2490686,MYORES_pass1_p6,2490688,MY-pass1-j01-MP6-3,C04,C,4,Cdc42,POS,10326669
,,2490686,MYORES_pass1_p6,2490689,MY-pass1-j01-MP6-2,C04,C,4,Cdc42,POS,10326669
,,2490686,MYORES_pass1_p6,2490690,MY-pass1-j01-MP6-1,C04,C,4,Cdc42,POS,10326669
,,2490686,MYORES_pass1_p6,2490688,MY-pass1-j01-MP6-3,C05,C,5,R-Luc,NEG,10394401
